模型,Accuracy,Precision,Recall,F1-score,ROC-AUC
逻辑回归,0.7455968688845401,0.13793103448275862,0.8,0.23529411764705882,0.8438065843621398
随机森林,0.9344422700587084,0.20689655172413793,0.12,0.1518987341772152,0.7712654320987654
